,n_estimators,min_samples_split,min_samples_leaf,max_depth,class_weight,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,alpha_h,alpha_p,num_neighbor
0,260,2,8,30,,0.642467542155746,0.05468493516974649,0.9908631560868786,0.10089803852911942,0.7329890117390117,0.03349101723145536,0.017055208402057803,0.0023553737128068227,0.02995355675083353,0.0823981392186444,0.6928299837045084,0.06538139145012574,0.9935717155484131,0.12121212121212122,0.8297872340425532,0.01,0.03359818286283781,2
0,440,6,2,25,,0.6751702584289974,0.2281393323705399,0.9326308977711619,0.33520520487361644,0.6535512865249978,0.027374748355739324,0.049820507790356745,0.013979525705212978,0.06420028223623944,0.07486374035093978,0.7341118957088539,0.27242246437552387,0.9554037766171153,0.39901780233271944,0.7454128440366973,0.01,0.03359818286283781,2
0,260,2,8,30,,0.6424676138857885,0.05321436016983929,0.9912933605989662,0.09777160037855956,0.7234746525905063,0.033154262257360595,0.020131580717039545,0.0011371424370259066,0.03495117594771786,0.07399953733438162,0.6925583921781641,0.06454316848281642,0.9935717155484131,0.119751166407465,0.8279569892473119,0.01,0.04281332398719394,2
0,440,6,2,25,,0.6750503975278959,0.23195337912881453,0.9302732930474689,0.3408638272364461,0.6585456052424525,0.02418660236054257,0.04069390425311947,0.01851902052762822,0.05482261977811694,0.07602170861859905,0.7343834872351983,0.250628667225482,0.9662515066291684,0.37944162436548223,0.7806788511749347,0.01,0.04281332398719394,2
0,260,2,8,30,,0.6399524142897721,0.04202768154185702,0.9931081561778788,0.07796574296851712,0.686747167561121,0.031934149197458205,0.019923891273098345,0.0011378107231940467,0.035359409205434685,0.10679310354787452,0.6912004345464422,0.06035205364626991,0.9935717155484131,0.11241217798594848,0.8181818181818182,0.01,0.0545559478116852,2
0,440,6,2,25,,0.6785844936863217,0.23131504593828117,0.9363002053514414,0.3424049306802722,0.6766225223252024,0.024282467700887187,0.04303010323955604,0.0215706185049251,0.05935102679180715,0.0924992064520016,0.7381857686040195,0.250628667225482,0.9718762555243069,0.38284250960307303,0.8102981029810298,0.01,0.0545559478116852,2
0,260,2,8,30,,0.6391138327083257,0.04099318905042929,0.9925462838248599,0.07639814639188275,0.6849856840780021,0.03196311355167257,0.017531037233790844,0.0009669263748823066,0.03127277797224933,0.10265101030066154,0.6933731667571972,0.06789606035205364,0.9931699477701889,0.1254841208365608,0.826530612244898,0.01,0.06951927961775606,2
0,440,6,2,25,,0.668700466819117,0.19346650470763258,0.9448237559703732,0.29899177287259826,0.6692078034622124,0.023179323429249853,0.028478017857868843,0.010217592503493448,0.03960637411554645,0.056095408975460545,0.7395437262357415,0.26571668063704945,0.9666532744073926,0.3979912115505336,0.7925,0.01,0.06951927961775606,2
0,260,2,8,30,,0.6389940148452495,0.04244170302195831,0.9915836381345969,0.07893694601604696,0.6754953984609676,0.03275189834944949,0.01771774589216549,0.0013443244380647989,0.03148804409286147,0.08954549552317208,0.6939163498098859,0.06957250628667226,0.9931699477701889,0.12838360402165508,0.83,0.01,0.08858667904100823,2
0,440,6,2,25,,0.649715332153135,0.17071496716596163,0.9291837966342713,0.2629862443546904,0.5882486945091309,0.02486279696022231,0.024412198613959234,0.014299329806687563,0.03231112212055852,0.05838686490771748,0.7368278109722977,0.2514668901927913,0.9694656488549618,0.38240917782026773,0.7978723404255319,0.01,0.08858667904100823,2
