,n_estimators,min_weight_fraction_leaf,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,ah,ap,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,train_dataset_accuracy,test_dataset_accuracy
0,77,0.2,6,2,0.1,1,True,0.143845,0.069519,0.3324829931972789,0.25,0.7474418604651163,0.049999999999999996,0.027777777777777776,0.06717687074829932,0.25,0.22667711192382878,0.05,0.027777777777777776,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,6,2,0.1,1,True,0.143845,0.069519,0.48905187074829926,0.0,0.9148006644518272,0.0,0.0,0.13236047672025536,0.0,0.046048879615483325,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,6,2,0.1,1,True,0.143845,0.069519,0.3066539115646259,0.25,0.6785714285714286,0.04716981132075471,0.026041666666666668,0.0927626798966126,0.25,0.23600270954284536,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,6,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,6,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.47916666666666663,0.51,0.20431266846361185,0.145606884057971,0.08052407087259224,0.27716947282604315,0.2830194339616981,0.14824732500060192,0.11357035083353867,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,6,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,6,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,2,4,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9369458128078818,0.1638704318936877,0.602154459476653,0.4995075578699272,0.12066743004323083,0.036722918222645305,0.07587603662602294,0.13788921216241287,0.1404789169681533,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,2,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,2,4,0.1,1,True,0.143845,0.069519,0.5059523809523809,0.9354679802955664,0.16851328903654486,0.6036130536130537,0.5009864515678469,0.1206194819242988,0.04124714996143704,0.07147199274484826,0.13820771774662186,0.13932992069500005,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
